Code site;Adresse;Arrondissement;Opérateur;Type;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;se_anno_cad_data;geo_shape;geo_point_2d
75113_014_02;51 Boulevard auguste blanqui;75013;FREE MOBILE;3G/4G/5G;26/09/2013;27/11/2013;14/12/2021;;;"{""coordinates"": [2.350475999760635, 48.82940999983524], ""type"": ""Point""}";48.82940999983524, 2.350475999760635
T15038;51 Rue st georges;75009;BOUYGUES;;01/10/2013;;;;;"{""coordinates"": [2.3374377753788984, 48.878165130412725], ""type"": ""Point""}";48.878165130412725, 2.3374377753788984
7510000038;52 Rue bonaparte;75006;SFR;2G/3G/4G;;;;;;"{""coordinates"": [2.333227500481923, 48.85335000038631], ""type"": ""Point""}";48.85335000038631, 2.333227500481923
T15718;53-55 Rue legendre;75017;BOUYGUES;;04/10/2013;;;;;"{""coordinates"": [2.3165487742869884, 48.88559013861206], ""type"": ""Point""}";48.88559013861206, 2.3165487742869884
00006220U5;54 Quai de la rapée;75012;ORANGE;3G/4G/5G;06/11/2013;06/11/2017;25/06/2024;;;"{""coordinates"": [2.372047256904034, 48.842813117588626], ""type"": ""Point""}";48.842813117588626, 2.372047256904034
75108_053_09;55 Rue de ponthieu;75008;FREE MOBILE;3G/4G/5G;31/05/2019;31/05/2019;04/01/2022;;;"{""coordinates"": [2.3056379996351994, 48.87188099992661], ""type"": ""Point""}";48.87188099992661, 2.3056379996351994
00000206U8;5-6 Sq georges contenot;75012;ORANGE;3G/4G/5G;03/12/2012;17/05/2013;15/04/2021;;;"{""coordinates"": [2.3962364999865877, 48.83721299967415], ""type"": ""Point""}";48.83721299967415, 2.3962364999865877
00080204U7;56 B boulevard vincent auriol;75013;ORANGE;3G/4G/5G;;03/04/2024;03/04/2024;;;"{""coordinates"": [2.3675310002530194, 48.8349900001894], ""type"": ""Point""}";48.8349900001894, 2.3675310002530194
00024874U3;57 Rue des morillons;75015;ORANGE;3G/4G/5G;24/07/2017;28/07/2017;08/02/2024;;;"{""coordinates"": [2.30166000008078, 48.83254200037651], ""type"": ""Point""}";48.83254200037651, 2.30166000008078
T16902;6 Square du trocadéro;75116;BOUYGUES;;27/07/2016;;;;;"{""coordinates"": [2.2826790005004125, 48.86267399977844], ""type"": ""Point""}";48.86267399977844, 2.2826790005004125
75103_019_05;61 Rue beaubourg;75003;FREE MOBILE;3G/4G/5G;04/11/2021;04/11/2021;09/11/2021;;;"{""coordinates"": [2.354300999883937, 48.863024999682224], ""type"": ""Point""}";48.863024999682224, 2.354300999883937
00080200U7;62 Rue regnault;75013;ORANGE;3G/4G/5G;19/02/2018;19/02/2018;06/07/2023;;;"{""coordinates"": [2.373687000492939, 48.823911000085985], ""type"": ""Point""}";48.823911000085985, 2.373687000492939
